state,action,q_value
"('3', '4', '5')_1_10_4",draw_deck_2,0.0
"('3', '4', '5')_1_10_4",take_discard_3,-0.49000000000000005
"('3', '4', '5')_1_10_4",draw_deck_3,0.0
"('4',)_3_10_2",draw_deck_3,0.010000000000000002
()_4_2_1,take_discard_0,0.010000000000000002
()_4_2_1,take_discard_1,0.0
()_4_2_1,take_discard_2,0.0
()_4_2_1,take_discard_3,0.0
()_4_2_1,draw_deck_0,0.0
()_4_2_1,draw_deck_1,0.0
()_4_2_1,draw_deck_2,0.0
()_4_2_1,draw_deck_3,0.0
"('2',)_3_4_2",take_discard_1,0.010000000000000002
"('2',)_3_4_2",take_discard_2,0.0
"('2',)_3_4_2",take_discard_3,0.0
"('2',)_3_4_2",draw_deck_1,0.0
"('2',)_3_4_2",draw_deck_2,0.0
"('2',)_3_4_2",draw_deck_3,0.0
"('2', '4')_2_J_3",take_discard_2,0.010000000000000002
"('2', '4')_2_J_3",take_discard_3,0.0
"('2', '4')_2_J_3",draw_deck_2,0.0
"('2', '4')_2_J_3",draw_deck_3,0.0
"('2', '4', 'J')_1_5_4",take_discard_3,1.01
"('10',)_3_2_2",take_discard_1,0.010000000000000002
"('10',)_3_2_2",take_discard_2,0.0
"('10',)_3_2_2",take_discard_3,0.0
"('10',)_3_2_2",draw_deck_1,0.0
"('10',)_3_2_2",draw_deck_2,0.0
"('10',)_3_2_2",draw_deck_3,0.0
"('10', '2')_2_9_3",take_discard_2,0.010000000000000002
"('10', '2')_2_9_3",take_discard_3,0.0
"('10', '2')_2_9_3",draw_deck_2,0.0
"('10', '2')_2_9_3",draw_deck_3,0.0
"('10', '2', '9')_1_8_4",take_discard_3,-0.49000000000000005
"('10', '2', '9')_1_8_4",draw_deck_3,0.0
"('Q',)_3_A_2",take_discard_1,0.010000000000000002
"('Q',)_3_A_2",take_discard_2,0.0
"('Q',)_3_A_2",take_discard_3,0.0
"('Q',)_3_A_2",draw_deck_1,0.0
"('Q',)_3_A_2",draw_deck_2,0.0
"('Q',)_3_A_2",draw_deck_3,0.0
"('A', 'A', 'Q')_1_J_4",take_discard_2,1.01
"('A', 'A', 'Q')_1_J_4",draw_deck_2,0.0
"('A', 'Q')_2_A_3",take_discard_3,0.010000000000000002
()_4_9_1,take_discard_0,0.027100000000000006
()_4_9_1,take_discard_1,0.0
()_4_9_1,take_discard_2,0.0
()_4_9_1,take_discard_3,0.0
()_4_9_1,draw_deck_0,0.0
()_4_9_1,draw_deck_1,0.0
()_4_9_1,draw_deck_2,0.0
()_4_9_1,draw_deck_3,0.0
"('9',)_3_J_2",take_discard_1,0.010000000000000002
"('9',)_3_J_2",take_discard_2,0.0
"('9',)_3_J_2",take_discard_3,0.0
"('9',)_3_J_2",draw_deck_1,0.0
"('9',)_3_J_2",draw_deck_2,0.0
"('9',)_3_J_2",draw_deck_3,0.0
"('9', 'J')_2_7_3",take_discard_2,0.010000000000000002
"('9', 'J')_2_7_3",take_discard_3,0.0
"('9', 'J')_2_7_3",draw_deck_2,0.0
"('9', 'J')_2_7_3",draw_deck_3,0.0
"('7', '9', 'J')_1_10_4",take_discard_3,-0.49000000000000005
"('7', '9', 'J')_1_10_4",draw_deck_3,0.0
"('9',)_3_7_2",take_discard_1,0.010000000000000002
"('9',)_3_7_2",take_discard_2,0.0
"('9',)_3_7_2",take_discard_3,0.0
"('9',)_3_7_2",draw_deck_1,0.0
"('9',)_3_7_2",draw_deck_2,0.0
"('9',)_3_7_2",draw_deck_3,0.0
"('7', '9', 'K')_1_10_4",take_discard_2,-0.49000000000000005
"('7', '9', 'K')_1_10_4",draw_deck_2,0.0
"('7', '9')_2_9_3",draw_deck_3,0.010000000000000002
"('10',)_3_6_2",take_discard_1,0.010000000000000002
"('10',)_3_6_2",take_discard_2,0.0
"('10',)_3_6_2",take_discard_3,0.0
"('10',)_3_6_2",draw_deck_1,0.0
"('10',)_3_6_2",draw_deck_2,0.0
"('10',)_3_6_2",draw_deck_3,0.0
"('10', '6')_2_9_3",take_discard_2,0.010000000000000002
"('10', '6')_2_9_3",take_discard_3,0.0
"('10', '6')_2_9_3",draw_deck_2,0.0
"('10', '6')_2_9_3",draw_deck_3,0.0
"('10', '6', '9')_1_J_4",take_discard_3,-0.49000000000000005
"('10', '6', '9')_1_J_4",draw_deck_3,0.0
"('6', 'A')_2_2_3",take_discard_2,0.010000000000000002
"('6', 'A')_2_2_3",take_discard_3,0.0
"('6', 'A')_2_2_3",draw_deck_2,0.0
"('6', 'A')_2_2_3",draw_deck_3,0.0
"('2', '6', 'A')_1_K_4",take_discard_3,1.01
"('2', '6', 'A')_1_K_4",draw_deck_3,0.0
()_4_5_1,draw_deck_1,0.010000000000000002
"('8',)_3_2_2",take_discard_0,0.010000000000000002
"('8',)_3_2_2",take_discard_1,0.0
"('8',)_3_2_2",take_discard_3,0.0
"('8',)_3_2_2",draw_deck_0,0.0
"('8',)_3_2_2",draw_deck_1,0.0
"('8',)_3_2_2",draw_deck_3,0.0
"('2', '8')_2_7_3",take_discard_1,0.010000000000000002
"('2', '8')_2_7_3",take_discard_3,0.0
"('2', '8')_2_7_3",draw_deck_1,0.0
"('2', '8')_2_7_3",draw_deck_3,0.0
"('2', '7', '8')_1_J_4",take_discard_3,1.01
"('2', '7', '8')_1_J_4",draw_deck_3,0.0
()_4_8_1,take_discard_2,0.010000000000000002
"('10', '9', '9')_1_8_4",take_discard_1,1.01
"('10', '9', '9')_1_8_4",draw_deck_1,0.0
"('9',)_3_10_2",draw_deck_2,0.010000000000000002
"('10', '9')_2_9_3",take_discard_3,0.010000000000000002
"('4',)_3_5_2",take_discard_0,0.010000000000000002
"('4',)_3_5_2",take_discard_2,0.0
"('4',)_3_5_2",take_discard_3,0.0
"('4',)_3_5_2",draw_deck_0,0.0
"('4',)_3_5_2",draw_deck_2,0.0
"('4',)_3_5_2",draw_deck_3,0.0
"('4', 'J')_2_A_3",take_discard_0,0.010000000000000002
"('4', 'J')_2_A_3",take_discard_2,0.0
"('4', 'J')_2_A_3",draw_deck_0,0.0
"('4', 'J')_2_A_3",draw_deck_2,0.0
"('4', 'A', 'J')_1_7_4",take_discard_2,1.01
"('4', 'A', 'J')_1_7_4",draw_deck_2,0.0
"('J',)_3_4_2",take_discard_1,0.010000000000000002
()_4_K_1,draw_deck_3,0.010000000000000002
