Running locally - Google Drive not available
======================================================================
PARALLEL CPU Q-LEARNING TRAINING
======================================================================
Workers: 1 (cpu_count=8)
Chunk size: 16
Games: 2000000 | opponent=ev_ai
Bootstrap: 1500000 | epsilon=0.2
n-step: 3 | replay_per_game: 4 (cap=2000) | visit beta=0.5
Q sharing: in-process (workers=1; no snapshot I/O)
Trajectories: append CSV
Human demos: 464 weighted steps / 43 holes (260 exact keys, source=supabase)
Loaded Q-table from C:\Users\kbwil\Documents\Data_Projects\golf\Golf_solver\backend\RL\output\qtable_train.csv
Trajectory resume index: last_game_num=249647
  Game 3200: BOOTSTRAP | Win rate=48.75%, Avg score=12.40, States=136394, Coverage=11.69% sparse=0.88, Epsilon=0.200, 67.1 games/s | replay=2000
  Game 3264: BOOTSTRAP | Win rate=48.84%, Avg score=12.37, States=136416, Coverage=11.70% sparse=0.88, Epsilon=0.200, 67.3 games/s | replay=2000
  Game 3312: BOOTSTRAP | Win rate=48.64%, Avg score=12.40, States=136432, Coverage=11.70% sparse=0.88, Epsilon=0.200, 67.3 games/s | replay=2000
  Game 3360: BOOTSTRAP | Win rate=48.66%, Avg score=12.39, States=136447, Coverage=11.70% sparse=0.88, Epsilon=0.200, 67.3 games/s | replay=2000
  Game 3408: BOOTSTRAP | Win rate=48.62%, Avg score=12.40, States=136469, Coverage=11.71% sparse=0.88, Epsilon=0.200, 67.4 games/s | replay=2000
  Game 3456: BOOTSTRAP | Win rate=48.55%, Avg score=12.41, States=136483, Coverage=11.71% sparse=0.88, Epsilon=0.200, 67.6 games/s | replay=2000
  Game 3504: BOOTSTRAP | Win rate=48.49%, Avg score=12.42, States=136497, Coverage=11.72% sparse=0.88, Epsilon=0.200, 67.7 games/s | replay=2000
  Game 3552: BOOTSTRAP | Win rate=48.45%, Avg score=12.42, States=136512, Coverage=11.72% sparse=0.88, Epsilon=0.200, 67.8 games/s | replay=2000
  Game 3600: BOOTSTRAP | Win rate=48.44%, Avg score=12.42, States=136523, Coverage=11.73% sparse=0.88, Epsilon=0.200, 68.0 games/s | replay=2000
  Game 3664: BOOTSTRAP | Win rate=48.31%, Avg score=12.46, States=136541, Coverage=11.74% sparse=0.88, Epsilon=0.200, 68.2 games/s | replay=2000
  Game 3712: BOOTSTRAP | Win rate=48.22%, Avg score=12.47, States=136556, Coverage=11.74% sparse=0.88, Epsilon=0.200, 68.3 games/s | replay=2000
  Game 3760: BOOTSTRAP | Win rate=48.09%, Avg score=12.51, States=136583, Coverage=11.74% sparse=0.88, Epsilon=0.200, 68.4 games/s | replay=2000
  Game 3808: BOOTSTRAP | Win rate=48.08%, Avg score=12.48, States=136597, Coverage=11.75% sparse=0.88, Epsilon=0.200, 68.6 games/s | replay=2000
  Game 3856: BOOTSTRAP | Win rate=48.16%, Avg score=12.46, States=136609, Coverage=11.75% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 3904: BOOTSTRAP | Win rate=48.21%, Avg score=12.46, States=136625, Coverage=11.76% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 3952: BOOTSTRAP | Win rate=48.18%, Avg score=12.46, States=136636, Coverage=11.77% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 4000: BOOTSTRAP | Win rate=48.20%, Avg score=12.44, States=136648, Coverage=11.77% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 4064: BOOTSTRAP | Win rate=48.23%, Avg score=12.44, States=136670, Coverage=11.78% sparse=0.88, Epsilon=0.200, 68.6 games/s | replay=2000
  Game 4112: BOOTSTRAP | Win rate=48.30%, Avg score=12.46, States=136689, Coverage=11.78% sparse=0.88, Epsilon=0.200, 68.6 games/s | replay=2000
  Game 4160: BOOTSTRAP | Win rate=48.32%, Avg score=12.45, States=136703, Coverage=11.79% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 4208: BOOTSTRAP | Win rate=48.38%, Avg score=12.45, States=136726, Coverage=11.79% sparse=0.88, Epsilon=0.200, 68.7 games/s | replay=2000
  Game 4256: BOOTSTRAP | Win rate=48.45%, Avg score=12.46, States=136752, Coverage=11.80% sparse=0.88, Epsilon=0.200, 68.8 games/s | replay=2000
  Game 4304: BOOTSTRAP | Win rate=48.49%, Avg score=12.45, States=136767, Coverage=11.80% sparse=0.88, Epsilon=0.200, 68.8 games/s | replay=2000
  Game 4352: BOOTSTRAP | Win rate=48.51%, Avg score=12.45, States=136781, Coverage=11.81% sparse=0.88, Epsilon=0.200, 68.9 games/s | replay=2000
  Game 4400: BOOTSTRAP | Win rate=48.52%, Avg score=12.46, States=136792, Coverage=11.81% sparse=0.88, Epsilon=0.200, 69.0 games/s | replay=2000
  Game 4464: BOOTSTRAP | Win rate=48.34%, Avg score=12.47, States=136820, Coverage=11.82% sparse=0.88, Epsilon=0.200, 69.1 games/s | replay=2000
  Game 4512: BOOTSTRAP | Win rate=48.38%, Avg score=12.46, States=136836, Coverage=11.82% sparse=0.88, Epsilon=0.200, 69.2 games/s | replay=2000
  Game 4560: BOOTSTRAP | Win rate=48.29%, Avg score=12.46, States=136850, Coverage=11.82% sparse=0.88, Epsilon=0.200, 69.2 games/s | replay=2000
  Game 4608: BOOTSTRAP | Win rate=48.29%, Avg score=12.46, States=136866, Coverage=11.83% sparse=0.88, Epsilon=0.200, 69.3 games/s | replay=2000
  Game 4656: BOOTSTRAP | Win rate=48.43%, Avg score=12.45, States=136881, Coverage=11.83% sparse=0.88, Epsilon=0.200, 69.4 games/s | replay=2000
  Game 4704: BOOTSTRAP | Win rate=48.36%, Avg score=12.46, States=136899, Coverage=11.84% sparse=0.88, Epsilon=0.200, 69.3 games/s | replay=2000
  Game 4752: BOOTSTRAP | Win rate=48.40%, Avg score=12.43, States=136915, Coverage=11.84% sparse=0.88, Epsilon=0.200, 69.3 games/s | replay=2000
  Game 4800: BOOTSTRAP | Win rate=48.35%, Avg score=12.44, States=136935, Coverage=11.85% sparse=0.88, Epsilon=0.200, 69.3 games/s | replay=2000
  Game 4864: BOOTSTRAP | Win rate=48.25%, Avg score=12.44, States=136952, Coverage=11.85% sparse=0.88, Epsilon=0.200, 69.5 games/s | replay=2000
  Game 4912: BOOTSTRAP | Win rate=48.29%, Avg score=12.45, States=136974, Coverage=11.86% sparse=0.88, Epsilon=0.200, 69.5 games/s | replay=2000
  Game 4960: BOOTSTRAP | Win rate=48.31%, Avg score=12.44, States=136991, Coverage=11.86% sparse=0.88, Epsilon=0.200, 69.6 games/s | replay=2000
  Game 5008: BOOTSTRAP | Win rate=48.28%, Avg score=12.43, States=137004, Coverage=11.86% sparse=0.88, Epsilon=0.200, 69.7 games/s | replay=2000
  Game 5056: BOOTSTRAP | Win rate=48.26%, Avg score=12.43, States=137019, Coverage=11.87% sparse=0.88, Epsilon=0.200, 69.7 games/s | replay=2000
  Game 5104: BOOTSTRAP | Win rate=48.28%, Avg score=12.42, States=137038, Coverage=11.87% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5152: BOOTSTRAP | Win rate=48.25%, Avg score=12.41, States=137053, Coverage=11.88% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5200: BOOTSTRAP | Win rate=48.25%, Avg score=12.41, States=137069, Coverage=11.88% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5264: BOOTSTRAP | Win rate=48.29%, Avg score=12.40, States=137088, Coverage=11.89% sparse=0.88, Epsilon=0.200, 70.0 games/s | replay=2000
  Game 5312: BOOTSTRAP | Win rate=48.31%, Avg score=12.39, States=137104, Coverage=11.89% sparse=0.88, Epsilon=0.200, 70.1 games/s | replay=2000
  Game 5360: BOOTSTRAP | Win rate=48.21%, Avg score=12.39, States=137118, Coverage=11.90% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5408: BOOTSTRAP | Win rate=48.22%, Avg score=12.41, States=137127, Coverage=11.90% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5456: BOOTSTRAP | Win rate=48.31%, Avg score=12.38, States=137147, Coverage=11.91% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5504: BOOTSTRAP | Win rate=48.27%, Avg score=12.39, States=137167, Coverage=11.91% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5552: BOOTSTRAP | Win rate=48.34%, Avg score=12.39, States=137180, Coverage=11.92% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5600: BOOTSTRAP | Win rate=48.39%, Avg score=12.38, States=137198, Coverage=11.92% sparse=0.88, Epsilon=0.200, 69.7 games/s | replay=2000
  Game 5664: BOOTSTRAP | Win rate=48.34%, Avg score=12.39, States=137219, Coverage=11.93% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 5712: BOOTSTRAP | Win rate=48.35%, Avg score=12.38, States=137230, Coverage=11.93% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5760: BOOTSTRAP | Win rate=48.39%, Avg score=12.38, States=137243, Coverage=11.94% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5808: BOOTSTRAP | Win rate=48.40%, Avg score=12.37, States=137257, Coverage=11.94% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5856: BOOTSTRAP | Win rate=48.39%, Avg score=12.38, States=137281, Coverage=11.95% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5904: BOOTSTRAP | Win rate=48.39%, Avg score=12.39, States=137298, Coverage=11.95% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 5952: BOOTSTRAP | Win rate=48.56%, Avg score=12.38, States=137312, Coverage=11.96% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6000: BOOTSTRAP | Win rate=48.58%, Avg score=12.39, States=137328, Coverage=11.96% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6064: BOOTSTRAP | Win rate=48.60%, Avg score=12.39, States=137352, Coverage=11.97% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6112: BOOTSTRAP | Win rate=48.58%, Avg score=12.40, States=137365, Coverage=11.97% sparse=0.88, Epsilon=0.200, 69.8 games/s | replay=2000
  Game 6160: BOOTSTRAP | Win rate=48.56%, Avg score=12.39, States=137376, Coverage=11.98% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6208: BOOTSTRAP | Win rate=48.57%, Avg score=12.39, States=137390, Coverage=11.98% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6256: BOOTSTRAP | Win rate=48.55%, Avg score=12.40, States=137404, Coverage=11.99% sparse=0.88, Epsilon=0.200, 69.9 games/s | replay=2000
  Game 6304: BOOTSTRAP | Win rate=48.54%, Avg score=12.39, States=137420, Coverage=11.99% sparse=0.88, Epsilon=0.200, 70.0 games/s | replay=2000
  Game 6352: BOOTSTRAP | Win rate=48.61%, Avg score=12.39, States=137432, Coverage=12.00% sparse=0.88, Epsilon=0.200, 70.0 games/s | replay=2000
  Game 6400: BOOTSTRAP | Win rate=48.62%, Avg score=12.39, States=137451, Coverage=12.00% sparse=0.88, Epsilon=0.200, 70.1 games/s | replay=2000
  Game 6464: BOOTSTRAP | Win rate=48.64%, Avg score=12.39, States=137478, Coverage=12.01% sparse=0.88, Epsilon=0.200, 70.1 games/s | replay=2000
  Game 6512: BOOTSTRAP | Win rate=48.65%, Avg score=12.39, States=137497, Coverage=12.01% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6560: BOOTSTRAP | Win rate=48.66%, Avg score=12.39, States=137509, Coverage=12.02% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6608: BOOTSTRAP | Win rate=48.67%, Avg score=12.38, States=137521, Coverage=12.02% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6656: BOOTSTRAP | Win rate=48.63%, Avg score=12.38, States=137531, Coverage=12.03% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6704: BOOTSTRAP | Win rate=48.64%, Avg score=12.37, States=137545, Coverage=12.03% sparse=0.88, Epsilon=0.200, 70.3 games/s | replay=2000
  Game 6752: BOOTSTRAP | Win rate=48.67%, Avg score=12.37, States=137560, Coverage=12.04% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6800: BOOTSTRAP | Win rate=48.66%, Avg score=12.37, States=137583, Coverage=12.04% sparse=0.88, Epsilon=0.200, 70.2 games/s | replay=2000
  Game 6864: BOOTSTRAP | Win rate=48.63%, Avg score=12.39, States=137603, Coverage=12.05% sparse=0.88, Epsilon=0.200, 70.3 games/s | replay=2000
  Game 6912: BOOTSTRAP | Win rate=48.64%, Avg score=12.36, States=137623, Coverage=12.05% sparse=0.88, Epsilon=0.200, 70.3 games/s | replay=2000
  Game 6960: BOOTSTRAP | Win rate=48.58%, Avg score=12.36, States=137638, Coverage=12.06% sparse=0.88, Epsilon=0.200, 70.3 games/s | replay=2000
  Game 7008: BOOTSTRAP | Win rate=48.62%, Avg score=12.37, States=137658, Coverage=12.07% sparse=0.88, Epsilon=0.200, 70.4 games/s | replay=2000
  Game 7056: BOOTSTRAP | Win rate=48.60%, Avg score=12.37, States=137673, Coverage=12.07% sparse=0.88, Epsilon=0.200, 70.4 games/s | replay=2000
  Game 7104: BOOTSTRAP | Win rate=48.59%, Avg score=12.37, States=137691, Coverage=12.08% sparse=0.88, Epsilon=0.200, 70.4 games/s | replay=2000
  Game 7152: BOOTSTRAP | Win rate=48.64%, Avg score=12.37, States=137701, Coverage=12.08% sparse=0.88, Epsilon=0.200, 70.4 games/s | replay=2000
  Game 7200: BOOTSTRAP | Win rate=48.56%, Avg score=12.40, States=137713, Coverage=12.08% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7264: BOOTSTRAP | Win rate=48.55%, Avg score=12.40, States=137732, Coverage=12.09% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7312: BOOTSTRAP | Win rate=48.47%, Avg score=12.42, States=137745, Coverage=12.09% sparse=0.88, Epsilon=0.200, 70.6 games/s | replay=2000
  Game 7360: BOOTSTRAP | Win rate=48.38%, Avg score=12.43, States=137762, Coverage=12.10% sparse=0.88, Epsilon=0.200, 70.6 games/s | replay=2000
  Game 7408: BOOTSTRAP | Win rate=48.38%, Avg score=12.43, States=137775, Coverage=12.10% sparse=0.88, Epsilon=0.200, 70.6 games/s | replay=2000
  Game 7456: BOOTSTRAP | Win rate=48.31%, Avg score=12.43, States=137794, Coverage=12.11% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7504: BOOTSTRAP | Win rate=48.29%, Avg score=12.42, States=137806, Coverage=12.11% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7552: BOOTSTRAP | Win rate=48.23%, Avg score=12.42, States=137823, Coverage=12.11% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7600: BOOTSTRAP | Win rate=48.30%, Avg score=12.41, States=137839, Coverage=12.12% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7664: BOOTSTRAP | Win rate=48.37%, Avg score=12.41, States=137862, Coverage=12.13% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7712: BOOTSTRAP | Win rate=48.26%, Avg score=12.42, States=137874, Coverage=12.13% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7760: BOOTSTRAP | Win rate=48.22%, Avg score=12.41, States=137891, Coverage=12.13% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7808: BOOTSTRAP | Win rate=48.19%, Avg score=12.41, States=137906, Coverage=12.14% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7856: BOOTSTRAP | Win rate=48.19%, Avg score=12.41, States=137923, Coverage=12.14% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
  Game 7904: BOOTSTRAP | Win rate=48.10%, Avg score=12.42, States=137937, Coverage=12.15% sparse=0.88, Epsilon=0.200, 70.5 games/s | replay=2000
