state,action,q_value,last_action
"pub_('10', '4')_priv_('8', 'K')_-3.0_6_3",draw_deck_2,0.010000000000000002,"g_95_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('5',)_priv_('10', '4')_-7.5_Q_2",draw_deck_1,0.010000000000000002,"g_96_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('10', '4')_-7.0_K_1",draw_deck_0,0.010000000000000002,"g_96_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('10', '5')_priv_('10', '4')_-20.0_Q_3",draw_deck_flip_2,0.010000000000000002,"g_96_r_3: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('6',)_priv_('10', '5')_-6.0_J_2",draw_deck_flip_1,0.010000000000000002,"g_97_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 1}"
"pub_()_priv_('10', '5')_-6.5_9_1",draw_deck_0,0.010000000000000002,"g_97_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('6', '6')_priv_('10', '5')_-5.5_9_3",draw_deck_2,0.010000000000000002,"g_97_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('Q',)_priv_('7', 'A')_-8.0_8_2",draw_deck_1,0.010000000000000002,"g_98_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('7', 'A')_-6.0_7_1",draw_deck_0,0.010000000000000002,"g_98_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('Q', 'Q')_priv_('7', 'A')_-7.0_8_3",draw_deck_2,0.010000000000000002,"g_98_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('2',)_-1.0_3_2",draw_deck_0,0.010000000000000002,"g_99_r_2: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_()_priv_('2', 'J')_-3.0_3_1",draw_deck_flip_2,0.010000000000000002,"g_99_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('2', 'J')_priv_('2',)_-12.0_K_3",draw_deck_flip_3,0.010000000000000002,"g_99_r_3: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('J',)_priv_('7', 'J')_-10.0_Q_2",draw_deck_flip_2,0.010000000000000002,"g_100_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_()_priv_('7', 'J')_-6.0_6_1",draw_deck_flip_0,0.010000000000000002,"g_100_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 0}"
"pub_('J', 'J')_priv_('7',)_-2.0_7_3",draw_deck_1,0.010000000000000002,"g_100_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('J',)_priv_('2', '6')_2.0_J_2",take_discard_1,0.010000000000000002,"g_101_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('2', '6')_-5.0_5_1",draw_deck_flip_0,0.010000000000000002,"g_101_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 0}"
"pub_('J', 'J')_priv_('2', '6')_-8.0_K_3",draw_deck_2,0.010000000000000002,"g_101_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('4', 'K')_-6.0_9_2",draw_deck_1,0.010000000000000002,"g_102_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('4', 'K')_3.5_J_1",take_discard_0,0.010000000000000002,"g_102_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('10', 'J')_priv_('4', 'K')_-5.0_7_3",draw_deck_2,0.010000000000000002,"g_102_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('4', '9')_-6.5_K_2",draw_deck_1,0.010000000000000002,"g_103_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('4', '9')_-10.0_10_1",draw_deck_flip_0,0.010000000000000002,"g_103_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 0}"
"pub_('6', 'J')_priv_('4', '9')_-7.5_K_3",draw_deck_2,0.010000000000000002,"g_103_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('6',)_4.5_J_2",take_discard_0,0.010000000000000002,"g_104_r_2: {'type': 'take_discard', 'position': 0}"
"pub_()_priv_('6', 'J')_-2.0_2_1",draw_deck_flip_3,0.010000000000000002,"g_104_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('J', 'J')_priv_('6',)_-5.5_K_3",draw_deck_1,0.010000000000000002,"g_104_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('J',)_priv_('4',)_3.5_J_2",take_discard_0,0.010000000000000002,"g_105_r_2: {'type': 'take_discard', 'position': 0}"
"pub_()_priv_('4', 'J')_-4.0_4_1",draw_deck_flip_2,0.010000000000000002,"g_105_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('J', 'J')_priv_('4',)_-6.5_10_3",draw_deck_1,0.010000000000000002,"g_105_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('J',)_priv_('3',)_-0.5_3_2",draw_deck_0,0.010000000000000002,"g_106_r_2: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('J', 'K')_priv_('3',)_-3.0_5_3",draw_deck_1,0.010000000000000002,"g_106_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('9',)_priv_('3', '9')_-12.0_3_2",draw_deck_flip_2,0.010000000000000002,"g_107_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('9', '9')_priv_('3',)_1.5_A_3",take_discard_1,0.010000000000000002,"g_107_r_3: {'type': 'take_discard', 'position': 1}"
"pub_('7',)_priv_('3', '8')_-12.0_5_2",draw_deck_flip_1,0.010000000000000002,"g_108_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 1}"
"pub_()_priv_('3', '8')_-1.5_4_1",draw_deck_0,0.010000000000000002,"g_108_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('7', '7')_priv_('3', '8')_-0.5_3_3",draw_deck_2,0.010000000000000002,"g_108_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J', 'J')_priv_('3',)_-5.5_8_3",draw_deck_1,0.010000000000000002,"g_109_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('4',)_priv_('4', 'K')_-14.0_Q_2",draw_deck_flip_2,0.010000000000000002,"g_110_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_()_priv_('4', 'K')_-8.0_9_1",draw_deck_0,0.010000000000000002,"g_110_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', '4')_priv_('K',)_-3.0_4_3",draw_deck_1,0.010000000000000002,"g_110_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('2',)_priv_('6', '8')_-6.0_K_2",draw_deck_1,0.010000000000000002,"g_111_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '8')_-6.0_Q_1",draw_deck_0,0.010000000000000002,"g_111_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('2', 'A')_priv_('6', '8')_-6.0_Q_3",draw_deck_2,0.010000000000000002,"g_111_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2',)_priv_('3', '5')_-2.0_4_2",draw_deck_1,0.010000000000000002,"g_112_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('3', '5')_-6.5_9_1",draw_deck_0,0.010000000000000002,"g_112_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('2', 'A')_priv_('3', '5')_3.0_A_3",take_discard_2,0.010000000000000002,"g_112_r_3: {'type': 'take_discard', 'position': 2}"
"pub_('2',)_priv_('6', '7')_-2.5_6_2",draw_deck_3,0.010000000000000002,"g_113_r_2: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_()_priv_('6', '7')_2.0_2_1",take_discard_0,0.010000000000000002,"g_113_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('2', '6')_priv_('6',)_-13.0_7_3",draw_deck_flip_2,0.010000000000000002,"g_113_r_3: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('6',)_priv_('8', 'A')_6.5_6_2",take_discard_1,0.010000000000000002,"g_114_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('8', 'A')_-7.0_8_1",draw_deck_0,0.010000000000000002,"g_114_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('6', '6')_priv_('8', 'A')_-9.0_10_3",draw_deck_2,0.010000000000000002,"g_114_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('10', '9')_1.5_4_2",take_discard_3,0.010000000000000002,"g_115_r_2: {'type': 'take_discard', 'position': 3}"
"pub_()_priv_('10', '9')_-5.0_7_1",draw_deck_0,0.010000000000000002,"g_115_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'J')_priv_('9',)_-5.0_10_3",draw_deck_1,0.010000000000000002,"g_115_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('J',)_priv_('7', '8')_-1.0_5_2",draw_deck_1,0.010000000000000002,"g_116_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('7', '8')_2.0_J_1",take_discard_0,0.010000000000000002,"g_116_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('10', 'J')_priv_('7', '8')_-4.5_8_3",draw_deck_2,0.010000000000000002,"g_116_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3',)_priv_('4', '6')_3.0_J_2",take_discard_1,0.010000000000000002,"g_117_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('4', '6')_0.0_3_1",take_discard_0,0.010000000000000002,"g_117_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('3', 'J')_priv_('4', '6')_-5.0_8_3",draw_deck_2,0.010000000000000002,"g_117_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('4', 'K')_-2.0_5_2",draw_deck_1,0.010000000000000002,"g_118_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('4', 'K')_-7.0_10_1",draw_deck_0,0.010000000000000002,"g_118_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('10', 'J')_priv_('4', 'K')_-4.5_7_3",draw_deck_2,0.010000000000000002,"g_118_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('6',)_priv_('6', '6')_-13.0_7_2",draw_deck_flip_2,0.010000000000000002,"g_119_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_()_priv_('6', '6')_-5.5_8_1",draw_deck_0,0.010000000000000002,"g_119_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('6', '6')_priv_('6',)_-3.5_6_3",draw_deck_1,0.010000000000000002,"g_119_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('A',)_priv_('4', 'A')_-1.0_J_2",draw_deck_flip_3,0.010000000000000002,"g_120_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_()_priv_('4', 'A')_-7.0_8_1",draw_deck_0,0.010000000000000002,"g_120_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('A', 'A')_priv_('4',)_1.5_2_3",take_discard_1,0.010000000000000002,"g_120_r_3: {'type': 'take_discard', 'position': 1}"
"pub_('J',)_priv_('5', '7')_0.5_3_2",take_discard_1,0.010000000000000002,"g_121_r_2: {'type': 'take_discard', 'position': 1}"
"pub_('3', 'J')_priv_('5', '7')_-0.5_4_3",draw_deck_2,0.010000000000000002,"g_121_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A',)_priv_('6', '9')_-3.5_5_2",draw_deck_1,0.010000000000000002,"g_122_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '9')_-6.0_8_1",draw_deck_0,0.010000000000000002,"g_122_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('6', 'A')_priv_('6', '9')_-8.0_2_3",draw_deck_flip_3,0.010000000000000002,"g_122_r_3: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('6',)_priv_('2', '5')_-3.0_4_2",draw_deck_1,0.010000000000000002,"g_123_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('2', '5')_-5.0_7_1",draw_deck_0,0.010000000000000002,"g_123_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('6', 'Q')_priv_('2', '5')_-8.5_9_3",draw_deck_2,0.010000000000000002,"g_123_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('3', '5')_-7.5_Q_2",draw_deck_1,0.010000000000000002,"g_124_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('3', '5')_-4.5_7_1",draw_deck_0,0.010000000000000002,"g_124_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('7', 'J')_priv_('3', '5')_-6.0_8_3",draw_deck_2,0.010000000000000002,"g_124_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
